owner,repo,stars,forks,watchers,deleted,private,archived,disabled
kaliop-uk,ezmigrationbundle,54,73,8,False,False,False,False
kallehallden,joblistingsapp,85,73,14,False,False,False,False
kalyan11021980,angular-ssr-starter,12,73,4,False,False,False,False
kamakazikamikaze,easysnmp,185,73,23,False,False,False,False
kanglin,facerecognizer,258,73,15,False,False,False,False
kanglin,facerecongnizer,258,73,15,False,False,False,False
karan-dhingra,hacktoberfest-cpp,13,73,2,False,False,False,False
karelia,connectionkit,499,73,33,False,False,False,False
karlend,midnight_lua,7,73,4,False,False,False,False
kasperpeulen,euclidthegame,447,73,25,False,False,False,False
katiefenn,parker,2483,73,59,False,False,False,False
kaunteya,progresskit,517,73,15,False,False,True,False
kayan1990,sharebutton,521,73,15,False,False,False,False
kby-ai,facerecognition-android,169,73,18,False,False,False,False
kedup,cspiration,45,73,4,False,False,False,False
keijiro,puppettest,824,73,32,False,False,False,False
keiku,kaggle-airbnb-recruiting-new-user-bookings,127,73,11,False,False,False,False
kelseyhightower,kubernetes-redis-cluster,214,73,12,False,False,False,False
kendagriff,sql-course,7,73,2,False,False,False,False
kennedyoliveira,github-basic-badges,39,73,4,False,False,False,False
kentcb,wpfconverters,288,73,28,False,False,False,False
kenzieacademy,restaurantmenu,1,73,10,False,False,False,False
keremnc,radarproject,5,73,4,False,False,False,False
kevinblighe,enhancedvolcano,329,73,15,False,False,False,False
kevinblighe,volcanoplot,329,73,15,False,False,False,False
kevinrob,guzzle-cache-middleware,382,73,12,False,False,False,False
keymanapp,keyman,279,73,24,False,False,False,False
keymanapp,keymanweb,279,73,24,False,False,False,False
khanhnguyen9872,ninja_server_termux,95,73,11,False,False,False,False
kierstone,buff-in-topdownshooter,176,73,3,False,False,False,False
killbill,killbill-cloud,58,73,10,False,False,False,False
kinlei,materiallua,56,73,5,False,False,False,False
kirilkirkov,electronic-invoicing-and-warehouse-management-system,114,73,16,False,False,False,False
kishikawakatsumi,uczprogressview,482,73,17,False,False,False,False
kisslinux,packages,384,73,24,False,False,False,False
kisslinux,repo,384,73,24,False,False,False,False
kissmrton9,str-frontend-kepesito-vizsga,0,73,0,False,False,False,False
kissx,packages,384,73,24,False,False,False,False
kissygalleryteam,kcharts,147,73,27,False,False,False,False
kittenyang,kywaterwaveview,516,73,15,False,False,False,False
kjhealy,revere,144,73,18,False,False,False,False
kkumatani,distant_speech_recognition,148,73,16,False,False,False,False
klionsec,redteamer,254,73,3,False,False,False,False
kmalakoff,knockback,1059,73,40,False,False,False,False
knowthen,fpjs,91,73,8,False,False,False,False
koczkatamas,kslang,1048,73,43,False,False,False,False
kodekloudhub,webapp-color,13,73,4,False,False,False,False
koggdal,ocanvas,485,73,26,False,False,False,False
kokke,bignum-c,362,73,19,False,False,False,False
kokke,tiny-bignum-c,362,73,19,False,False,False,False
kolyvan,kxtorrent,223,73,22,False,False,False,False
kostra0ne,stargit-and-hack,1,73,3,False,False,False,False
kotlindev,gin-demo,162,73,2,False,False,False,False
kousen,kotlin-cookbook,207,73,14,False,False,False,False
krakendio,krakend-documentation,20,73,5,False,False,False,False
krasimir,deb.js,1434,73,43,False,False,False,False
kroitor,gjk.c,783,73,32,False,False,False,False
krylovsk,mqtt-benchmark,263,73,12,False,False,False,False
krystianity,kafka-streams,809,73,25,False,False,False,False
ksanjeevan,crnn-audio-classification,345,73,8,False,False,False,False
kthohr,stats,445,73,31,False,False,False,False
ktquez,vue-head,986,73,22,False,False,False,False
kubeflow,common,51,73,22,False,False,False,False
kubernetes-sigs,e2e-framework,305,73,13,False,False,False,False
kuhnroyal,mat-datetimepicker,142,73,7,False,False,False,False
kureev,rnpm,2504,73,30,False,False,False,False
kuwaitcodes,android-cw-4,0,73,2,False,False,False,False
kybernetwork,dmm-smart-contracts,24,73,5,False,False,False,False
kybernetwork,dmm-subgraph,3,73,3,False,False,True,False
kybernetwork,eos_smart_contracts,8,73,6,False,False,False,False
kybernetwork,ks-classic-sc,24,73,5,False,False,False,False
kyivmohylaacademy,ethereum-transaction-with-web3js,2,73,1,False,False,False,False
kyma-project,website,70,73,20,False,False,False,False
l3p-cv,lost,515,73,23,False,False,False,False
laardee,serverless-authentication-boilerplate,570,73,30,False,False,False,False
labenuexercicios,terminal-git-template-2,0,73,2,False,False,False,False
laboratoriachile,ejercicio_guiado_diseno,0,73,2,False,False,False,False
laborer,stcflash,248,73,15,False,False,False,False
lakesky,stock-trading-system,92,73,6,False,False,False,False
lakshaysk106,algorithms,15,73,1,False,False,False,False
lakshaysk106,graphalgoincpp,15,73,1,False,False,False,False
lakshaysk106,graphalgorithms,15,73,1,False,False,False,False
lambdaschool,cs-guided-project-python-ii,2,73,7,False,False,False,False
lambdaschool,ios-guided-project-starter-swift-fund-i,0,73,8,False,False,False,False
lamw,vghetto-vsphere-with-kubernetes-external-nsxt-automated-lab-deployment,199,73,28,False,False,False,False
lamw,vsphere-with-tanzu-nsxt-automated-lab-deployment,199,73,28,False,False,False,False
