owner,repo,stars,forks,watchers,deleted,private,archived,disabled
jcolemorrison,vault-on-aws,325,51,16,False,False,False,False
jconst,phonekit,150,51,18,False,False,False,False
jcramer,electrum,62,51,14,False,False,False,False
jdelacroix,simiam,101,51,21,False,False,False,False
jdevalk,xml-sitemap-php-script,109,51,10,False,False,False,False
jdinhify,vscode-theme-gruvbox,208,51,1,False,False,False,False
jdinhlife,vscode-theme-gruvbox,208,51,1,False,False,False,False
jdinhlife,vscode-theme-gruvbox-dark-medium,208,51,1,False,False,False,False
jdm,highfive,239,51,19,False,False,False,False
jedi-academy,starter-routes,0,51,2,False,False,False,False
jedisct1,flogger,770,51,32,False,False,False,False
jedisct1,flowgger,770,51,32,False,False,False,False
jedisct1,zok,770,51,32,False,False,False,False
jeerbl,webfonts-generator-loader,186,51,3,False,False,False,False
jeerbl,webfonts-loader,186,51,3,False,False,False,False
jeffersonlab,hallc_replay,1,51,20,False,False,False,False
jeffkowalski,geeknote,393,51,29,False,False,False,False
jeffkreeftmeijer,vim-numbertoggle,643,51,5,False,False,False,False
jeffli1993,java-concurrency-core-learning,73,51,8,False,False,False,False
jeffmony,medialocalproxylib,258,51,10,False,False,False,False
jeffmony,mediasdk,258,51,10,False,False,False,False
jeffreyksmithjr,reactive-machine-learning-systems,141,51,29,False,False,False,False
jeffyli1991,medialocalproxylib,258,51,10,False,False,False,False
jenkinsci,ant-plugin,12,51,105,False,False,False,False
jenkinsci,parallel-test-executor-plugin,51,51,110,False,False,False,False
jenkinsci,unity3d-plugin,90,51,113,False,False,False,False
jenly1314,base,256,51,13,False,False,False,False
jeroenverfallie,ggo13-transcube,229,51,23,False,False,False,False
jeronymous,whisper-timestamped,526,51,18,False,False,False,False
jerrycao1985,sort,794,51,32,False,False,False,False
jerson,ngrok,274,51,9,False,False,True,False
jerson,pgrok,274,51,9,False,False,True,False
jespersvejgaard,pds,12,51,2,False,False,False,False
jesse-ai,example-strategies,130,51,16,False,False,False,False
jessicahust,kvm,115,51,4,False,False,False,False
jesusfreke,lalboard,733,51,46,False,False,False,False
jfarr,spring-mvc-examples,32,51,13,False,False,True,False
