owner,repo,stars,forks,watchers,deleted,private,archived,disabled
guxmedeiros,nlw-widget,-1,-1,-1,True,False,False,False
guxuloop,blog,-1,-1,-1,True,False,False,False
guy-eisenberg,books-projects,-1,-1,-1,True,False,False,False
guy-shapira,procgen_data_cep,-1,-1,-1,True,False,False,False
guy0017,codersnet-frontend,-1,-1,-1,True,False,False,False
guyafik,customizedgames,-1,-1,-1,True,False,False,False
guyafik,networkcybersecurity,-1,-1,-1,True,False,False,False
guyb2022,demo_git_coursera,-1,-1,-1,True,False,False,False
guyb27,le-101,-1,-1,-1,True,False,False,False
guybendavid,facebook-clone,-1,-1,-1,True,False,False,False
guybendavid,rticles,-1,-1,-1,True,False,False,False
guybi99,user,-1,-1,-1,True,False,False,False
guybritish,first_react_app,-1,-1,-1,True,False,False,False
guybydefault,hsjail,-1,-1,-1,True,False,False,False
guycohh,hello-world,-1,-1,-1,True,False,False,False
guycui,framework,-1,-1,-1,True,False,False,False
guycui,layuiproject,-1,-1,-1,True,False,False,False
guycui,springs,-1,-1,-1,True,False,False,False
guyddogl,trybe-exercicios,-1,-1,-1,True,False,False,False
guydelarea,courtguard,-1,-1,-1,True,False,False,False
guydvir2,sss,-1,-1,-1,True,False,False,False
guyemerson,testrepo,-1,-1,-1,True,False,False,False
guyhur,guyos,-1,-1,-1,True,False,False,False
guyi-maple,guyi-maple.github.io,-1,-1,-1,True,False,False,False
guylevitzky,chat-app,-1,-1,-1,True,False,False,False
guylevitzky,password-manager,-1,-1,-1,True,False,False,False
guylevitzky,personal-db,-1,-1,-1,True,False,False,False
guyluz11,security-bear,-1,-1,-1,True,False,False,False
guymaslawi,cssisrael,-1,-1,-1,True,False,False,False
guymizrahi1,guymizrahi1.github.io,-1,-1,-1,True,False,False,False
guymizrahi1,pomodoro-technique.github.io,-1,-1,-1,True,False,False,False
guynoimark,mashov-covid19-health-statement,-1,-1,-1,True,False,False,False
guyofengland,web-developer-project-london,-1,-1,-1,True,False,False,False
guyon95,frontend-html-css-concept-opdracht-master,-1,-1,-1,True,False,False,False
guyonleft,my-website,-1,-1,-1,True,False,False,False
guyou753631,hexo-site,-1,-1,-1,True,False,False,False
guysagi89,angular-asp.net-todo-app,-1,-1,-1,True,False,False,False
guysudai1,school_with_yoav,-1,-1,-1,True,False,False,False
guytarded,librarian,-1,-1,-1,True,False,False,False
guytchoutang86,cloudformation-temp,-1,-1,-1,True,False,False,False
guyturevich,ppl_assignment4,-1,-1,-1,True,False,False,False
guyue1130,2048,-1,-1,-1,True,False,False,False
guyue1130,webplayer,-1,-1,-1,True,False,False,False
guyuehome,originbot_site,-1,-1,-1,True,False,False,False
guyutongxue,ngx-monaco-editor,-1,-1,-1,True,False,False,False
guyver91,xiaomi_kernel_opensource,-1,-1,-1,True,False,False,False
guywitheyes,django-todo-app,-1,-1,-1,True,False,False,False
guywithspectacles,python_automation,-1,-1,-1,True,False,False,False
guzalai,linux,-1,-1,-1,True,False,False,False
guzanton,demo,-1,-1,-1,True,False,False,False
guzee,ljs,-1,-1,-1,True,False,False,False
