owner,repo,stars,forks,watchers,deleted,private,archived,disabled
unique1984,s-zle-meler,132,19,19,False,False,False,False
unique1984,sozlesmeler,132,19,19,False,False,False,False
unity-technologies,com.unity.services.samples,132,55,18,False,False,False,False
unoplatform,uno.samples,132,73,36,False,False,False,False
uptech,alt,132,12,16,False,False,False,False
urigo,angular-meteor-base,132,48,13,False,False,False,False
urigo,angular2-meteor-base,132,48,13,False,False,False,False
usecodelee,vue-auto-puzzle,132,12,4,False,False,False,False
usgpo,bill-status,132,40,37,False,False,False,False
utkarsh-pro,node-snowflake,132,14,4,False,False,False,False
utkarsh-pro,nodejs-snowflake,132,14,4,False,False,False,False
utkarsh-pro,snowflake,132,14,4,False,False,False,False
utmapp,qemu,132,27,10,False,False,False,False
v3aqb,fwlite,132,21,13,False,False,False,False
vaadin-learning-center,crm-tutorial,132,157,31,False,False,False,False
vaadin-learning-center,flow-crm-tutorial,132,157,31,False,False,False,False
vaadin,flow-crm-tutorial,132,157,31,False,False,False,False
vacuumlabs,react-custom-validation,132,18,86,False,False,False,False
vacuumlabs,react-validation,132,18,86,False,False,False,False
vacuumlabs,validation,132,18,86,False,False,False,False
vadimdemedes,ink-text-input,132,33,5,False,False,False,False
valentinradu,whiteraccoon,132,37,13,False,False,False,False
valloric,listtoggle,132,13,6,False,False,False,False
valueflows,ovn,132,22,32,False,False,False,False
valueflows,valueflows,132,22,32,False,False,False,False
varabeis,spfakebar,132,10,4,False,False,False,False
velopert,ts-react-redux-tutorial,132,32,5,False,False,False,False
veraxy00,shiro-exp,132,22,2,False,False,False,False
veraxy01,shiro-exp,132,22,2,False,False,False,False
vercel,install-node,132,22,5,False,False,False,False
vidar-team,hctf2017,132,22,21,False,False,False,False
vim-scripts,align,132,30,5,False,False,False,False
vincentriemer,yoga-dom,132,5,5,False,False,False,False
vinissimus,async-asgi-testclient,132,17,4,False,False,False,False
vinojjayasundara,textcaps,132,43,7,False,False,False,False
violetoffice,violet_sans,132,5,5,False,False,False,False
virb3,cloudflare-warp-wireguard-client,132,49,12,False,False,True,False
virtualshield,rails-graphql,132,3,7,False,False,False,False
vitae-transformer,vitae-vsa,132,6,2,False,False,False,False
vivapayments,api,132,159,33,False,False,False,False
vkaravir,bib-publication-list,132,57,9,False,False,False,False
vladimir2506,pointformer,132,12,6,False,False,False,False
vlazh,node-hot-loader,132,6,2,False,False,False,False
vlc-qt,examples,132,85,9,False,False,False,False
vmchale,project-init,132,12,3,False,False,False,False
voipgrid,vialersiplib,132,63,13,False,False,False,False
voipgrid,vialersiplib-ios,132,63,13,False,False,False,False
vrtadmin,tesladecrypt,132,75,31,False,False,False,False
vsmolyakov,ml_algo_from_scratch,132,15,4,False,False,False,False
vsmolyakov,ml_algo_in_depth,132,15,4,False,False,False,False
vspacecode,vscode-which-key,132,13,5,False,False,False,False
vue-r,vuer,132,14,11,False,False,False,False
w1u0u1,kinject,132,30,5,False,False,False,False
waako,sketch-icon-template,132,3,7,False,False,False,False
wagtail,telepath,132,3,9,False,False,False,False
wanderview,service-worker-scope-pattern-matching,132,13,20,False,False,False,False
wangwenhao0716,isc-track1-submission,132,14,3,False,False,False,False
wangyeee,stm32f4-freertos,132,87,27,False,False,False,False
wardvanwanrooij,thecbook,132,22,8,False,False,False,False
wasimmahamod,apon,132,0,1,False,False,False,False
wasimmahamod,bizzency,132,0,1,False,False,False,False
wasimmahamod,book-list,132,0,1,False,False,False,False
wasimmahamod,ebook,132,0,1,False,False,False,False
wasimmahamod,numbergassinggame,132,0,1,False,False,False,False
wasimmahamod,panpan25chattingapp,132,0,1,False,False,False,False
wasimmahamod,pokpok-new,132,0,1,False,False,False,False
wasimmahamod,sharely,132,0,1,False,False,False,False
wasimmahamod,t-print,132,0,1,False,False,False,False
watson-developer-cloud,natural-language-understanding-nodejs,132,158,21,False,False,False,False
weaselgames,godot_luaapi,132,10,9,False,False,False,False
weaselgames,lua,132,10,9,False,False,False,False
weavejester,integrant-repl,132,14,8,False,False,False,False
weavejester,lein-auto,132,7,7,False,False,False,False
weaveworks-liquidmetal,flintlock,132,17,10,False,False,False,False
weaveworks,flintlock,132,17,10,False,False,False,False
weaveworks,reignite,132,17,10,False,False,False,False
webaudiomodules,webdx7,132,21,10,False,False,False,False
webdevsimplified,github-jobs-api-react-app,132,70,3,False,False,False,False
webix-hub,webix-adminapp-demo,132,65,31,False,False,False,False
webmixedreality,emukit,132,15,9,False,False,False,False
wega-project,hpg,132,20,22,False,False,False,False
wega-project,wega-hpg,132,20,22,False,False,False,False
wenhuchen,ott-qa,132,19,3,False,False,False,False
whater4927,aobingjava,132,25,13,False,False,False,False
whit537,mongs,132,15,9,False,False,False,False
white-white,mocha,132,7,4,False,False,False,False
whyrusleeping,hellabot,132,38,6,False,False,False,False
wicg,service-worker-scope-pattern-matching,132,13,20,False,False,False,False
wicg,urlpattern,132,13,20,False,False,False,False
wilfredta,formal-methods-curriculum,132,10,7,False,False,False,False
will-stone,spotspot,132,18,3,False,False,True,False
williammustaffa,jquery.dad.js,132,56,12,False,False,False,False
wilsonhuha,cbr-doc,132,51,9,False,False,False,False
wimmuskee,readability-score,132,22,13,False,False,False,False
wix,react-native-keyboard-tracking-view,132,58,219,False,False,False,False
wokwi,wokwi-elements,132,35,6,False,False,False,False
wolox,tech-guides,132,70,50,False,False,False,False
wonbeomjang,mobile-hair-segmentation-pytorch,132,26,5,False,False,False,False
woodburydev,passport-local-video,132,56,2,False,False,False,False
wplib,wplib,132,12,23,False,False,False,False
wulkano,getkap.co,132,23,10,False,False,False,False
wulkano,kap-website,132,23,10,False,False,False,False
wuxiaolie,knowledge-notes,132,26,3,False,False,False,False
wuxiaoqiang625,videocompress,132,25,4,False,False,False,False
wxue004cs,gcae,132,58,7,False,False,False,False
wycats,rust-activesupport,132,2,5,False,False,False,False
x-o-r-r-o,php-webshells-collection,132,100,11,False,False,False,False
x00pwn,windows-exploit-development-practice,132,53,5,False,False,False,False
xampprocky,rasn,132,29,7,False,False,False,False
xaxaxa,workspace,132,18,17,False,False,False,False
xhaskx,luamqtt,132,37,11,False,False,False,False
xhsdf,rtile,132,8,6,False,False,False,False
xhsdf,xh_tile,132,8,6,False,False,False,False
xiaojianzhong,awesome-weakly-supervised-semantic-segmentation,132,14,7,False,False,False,False
xiaolifan,mutiphotochoser,132,30,10,False,False,False,False
xiaozhuxiong121,pgnetworkhelper,132,26,6,False,False,False,False
xilinx,mlir-aie,132,41,20,False,False,False,False
xilopaint,alfred-pdf-tools,132,8,10,False,False,False,False
xinglie,html-entities-decoder,132,18,2,False,False,False,False
xinyu198736,aliyuniotsdk-esp8266,132,54,6,False,False,False,False
xinyu198736,arduino-aliyun-iot-sdk,132,54,6,False,False,False,False
xiuyechen,fishexplorer,132,20,13,False,False,False,False
xops,expedition,132,87,4,False,False,False,False
xored,scala-js-react,132,10,19,False,False,False,False
xqding,td-vae,132,22,4,False,False,False,False
xsalazar,emoji-kitchen,132,9,7,False,False,False,False
xu-jian,pythonspider,132,53,10,False,False,False,False
xujinkai,aria2-with-webui,132,122,7,False,False,True,False
xuminwlt,j360-tools,132,20,5,False,False,False,False
xuxiaodong,linuxtoy.org,132,29,13,False,False,True,False
xxhomey19,ppav,132,20,19,False,False,False,False
yandooo,spring-graphql-common,132,19,17,False,False,False,False
yang-va,onlinestudy,132,50,10,False,False,True,False
yangfan0095,guwen-spider,132,19,10,False,False,False,False
yangfan0095,spider-lab,132,19,10,False,False,False,False
yangjianxin1,llmpruner,132,15,2,False,False,False,False
yangqian2024,bjuxyh,132,11,27,False,False,False,False
yangqian2024,powersport,132,11,27,False,False,False,False
yannick-cw,notion-ocr,132,5,6,False,False,False,False
ybq789,taobao-1212,132,75,7,False,False,False,False
ycf,christy_gift,132,36,7,False,False,True,False
yellows8,oot3dhax,132,16,41,False,False,False,False
yelp,lemon-reset,132,9,8,False,False,False,False
yhlben,blog,132,60,6,False,False,False,False
yinhm,datafeed,132,44,32,False,False,False,False
yioneko,nvim-yati,132,4,5,False,False,False,False
ymaps,modules,132,27,19,False,False,False,False
yogykwan,design-patterns-py,132,54,10,False,False,False,False
yohanes,teensy-u2f,132,27,14,False,False,False,False
yonathan95,binancetradingbot,132,48,6,False,False,False,False
yonghaowu,qianduan-yule-club,132,9,8,False,False,False,False
your-first-open-source-project,start-here,132,130,9,False,False,False,False
your-first-open-source-project,your-first-open-source-project,132,130,9,False,False,False,False
