owner,repo,stars,forks,watchers,deleted,private,archived,disabled
markusschanta,awesome-jupyter,3360,356,107,False,False,False,False
mpociot,laravel-apidoc-generator,3360,585,70,False,False,False,False
onlyoffice,documentserver,3360,870,167,False,False,False,False
rafaelcamargo,glorious-demo,3360,108,29,False,False,False,False
reds-heig,logisim-evolution,3360,428,64,False,False,False,False
alloyteam,alloyfinger,3359,541,134,False,False,False,False
dekatotoro,slidemenucontrollerswift,3359,686,135,False,False,False,False
eragonruan,text-detection-ctpn,3359,1299,133,False,False,False,False
include-what-you-use,include-what-you-use,3359,339,73,False,False,False,False
knq,xo,3359,284,71,False,False,False,False
shougo,dein.vim,3359,196,72,False,False,False,False
voog,wysihtml,3359,329,103,False,False,False,False
chiphuyen,python-is-cool,3358,527,122,False,False,False,False
efforg,https-everywhere,3358,1078,148,False,False,True,False
google,puffs,3358,105,79,False,False,False,False
jmacdonald,amp,3358,96,53,False,False,False,False
rs,xid,3358,183,36,False,False,False,False
urbit,urbit,3358,330,138,False,False,False,False
xo,xo,3358,284,71,False,False,False,False
mozhouqi,kmnavigationbartransition,3357,441,64,False,False,False,False
rapidsai,cuml,3357,455,70,False,False,False,False
rpisec,malware,3357,692,329,False,False,False,False
hectahertz,react-native-typography,3356,100,31,False,False,False,False
learning-zone,website-templates,3356,2735,61,False,False,False,False
mariusandra,fully-react-map,3356,138,40,False,False,False,False
motion-project,motion,3356,520,158,False,False,False,False
pagedraw,pagedraw,3356,452,62,False,False,False,False
payloadbox,sql-injection-payload-list,3356,876,77,False,False,False,False
1n3,intruderpayloads,3355,1090,167,False,False,False,False
lkwq007,stablediffusion-infinity,3355,254,38,False,False,False,False
mr-dave,motion,3355,520,158,False,False,False,False
cucumber,common,3354,699,221,False,False,False,False
gavinkwoe,beeframework,3354,1021,396,False,False,False,False
snori74,ebook1,3354,367,139,False,False,True,False
stripe,stripe-node,3354,631,82,False,False,False,False
tectonic-typesetting,tectonic,3354,121,41,False,False,False,False
twittem,wp-bootstrap-navwalker,3354,1964,215,False,False,False,False
wp-bootstrap,wp-bootstrap-navwalker,3354,1964,215,False,False,False,False
audiorouterdev,audio-router,3353,390,151,False,False,False,False
diego-vicente,som-tsp,3353,524,112,False,False,False,False
diegovicen,som-tsp,3353,524,112,False,False,False,False
ivacf,archi,3353,497,145,False,False,False,False
morelinq,morelinq,3353,384,110,False,False,False,False
s16h,py-must-watch,3353,259,269,False,False,False,False
sigstore,cosign,3353,403,49,False,False,False,False
bosun-monitor,bosun,3352,478,147,False,False,False,False
frictionalgames,amnesiathedarkdescent,3352,325,85,False,False,False,False
ksundong,backend-interview-question,3352,654,23,False,False,False,False
michelf,php-markdown,3352,527,141,False,False,False,False
projectcosign,cosign,3352,402,49,False,False,False,False
zeromq,pyzmq,3352,591,102,False,False,False,False
allendowney,thinkdsp,3351,2875,229,False,False,False,False
hendricius,pizza-dough,3351,168,54,False,False,False,False
rubygems,rubygems,3351,1532,168,False,False,False,False
coderwhy,learnminiprogram,3350,365,52,False,False,False,False
lylemi,base-conception-about-penetration-testing,3350,705,92,False,False,False,False
slacka,winusb,3350,313,83,False,False,False,False
symfony,framework-bundle,3350,112,11,False,False,False,False
apple,coremltools,3349,485,113,False,False,False,False
gaogaotiantian,codesnap,3349,308,42,False,False,False,False
greenshot,greenshot,3349,500,127,False,False,False,False
jeevan-kumar-raj,grokking-system-design,3349,1000,51,False,False,False,False
amazon-science,mm-cot,3348,272,49,False,False,False,False
auk9527,are-u-ok,3348,796,45,False,False,False,False
bluemagic123,tmodloader,3348,1594,116,False,False,False,False
blushiemagic,tmodloader,3348,1594,116,False,False,False,False
etixlabs,cameradar,3348,429,137,False,False,False,False
padrino,padrino-framework,3348,494,120,False,False,False,False
pwhuanle,java-tron,3348,1119,362,False,False,False,False
tmodloader,tmodloader,3348,1594,116,False,False,False,False
tronprotocol,java-tron,3348,1119,362,False,False,False,False
ullaakut,cameradar,3348,429,137,False,False,False,False
hunterlarco,3d-weather,3347,126,95,False,False,False,False
thunlp,openprompt,3347,356,36,False,False,False,False
alibaba,alink,3346,772,141,False,False,False,False
gitlqr,lqrwechat,3346,1033,128,False,False,False,False
huburt-hu,newbieguide,3346,475,55,False,False,False,False
jasonlong,isometric-contributions,3346,151,48,False,False,False,False
spring2go,cs_study_plan,3346,415,41,False,False,False,False
anchorcms,anchor-cms,3345,578,190,False,False,True,False
appleboy,ssh-action,3345,425,30,False,False,False,False
leokhoa,laragon,3345,299,106,False,False,False,False
pry0cc,axiom,3345,521,87,False,False,False,False
alecthomas,kingpin,3344,251,48,False,False,False,False
imfht,fanhaodaquan,3344,644,219,False,False,False,False
estebanfuentealba,react-native-share,3343,841,63,False,False,False,False
jrjohansson,scientific-python-lectures,3343,1689,322,False,False,False,False
nodeca,pica,3343,226,50,False,False,False,False
react-native-community,react-native-share,3343,841,63,False,False,False,False
react-native-share,react-native-share,3343,841,63,False,False,False,False
sebastienros,jint,3343,476,142,False,False,False,False
yihong0618,xiaogpt,3343,425,31,False,False,False,False
zudochkin,awesome-newsletters,3343,267,89,False,False,False,False
iberianpig,fusuma,3342,143,39,False,False,False,False
laravel-zero,laravel-zero,3342,183,60,False,False,False,False
nunomaduro,laravel-zero,3342,183,60,False,False,False,False
sshnet,ssh.net,3342,800,158,False,False,False,False
vredniy,awesome-newsletters,3342,267,89,False,False,False,False
angryip,ipscan,3341,635,208,False,False,False,False
angryziber,ipscan,3341,635,208,False,False,False,False
feeluown,feeluown,3341,560,115,False,False,False,False
ghosh,micromodal,3341,220,36,False,False,False,False
iqiyi,xcrash,3341,561,89,False,False,False,False
spotify,chartify,3341,296,87,False,False,False,False
thespeedx,tbomb,3341,1376,407,False,False,False,False
broccolijs,broccoli,3340,201,72,False,False,False,False
guanguans,design-patterns-for-humans-cn,3340,473,81,False,False,False,False
sourcegraph,checkup,3340,240,139,False,False,False,False
tensorspeech,tensorflowtts,3340,705,77,False,False,False,False
ifzhang,bytetrack,3339,635,38,False,False,False,False
kentcdodds,match-sorter,3339,110,28,False,False,False,False
marlonrichert,zsh-autocomplete,3339,110,22,False,False,False,False
mars,create-react-app-buildpack,3339,628,54,False,False,True,False
meitar,awesome-cybersecurity-blueteam,3339,538,148,False,False,False,False
mevdschee,mysql-crud-api,3339,957,178,False,False,False,False
nandorojo,moti,3339,103,29,False,False,False,False
npubird,knowledgegraphcourse,3339,1000,96,False,False,False,False
tensorflow,hub,3339,1663,147,False,False,False,False
zpao,qrcode.react,3339,287,25,False,False,False,False
burke,zeus,3338,224,49,False,False,False,False
franzkafkayu,x-ui,3338,706,38,False,False,False,False
paritytech,libp2p-rs,3338,673,90,False,False,False,False
shaojiankui,ios-categories,3338,907,131,False,False,False,False
tonikelope,megabasterd,3338,509,74,False,False,False,False
fabacab,awesome-cybersecurity-blueteam,3337,538,148,False,False,False,False
jamiemason,imageoptim-cli,3337,121,52,False,False,False,False
libp2p,rust-libp2p,3336,673,90,False,False,False,False
axe312ger,sqip,3335,80,22,False,False,False,False
camunda,camunda-bpm-platform,3335,1329,177,False,False,False,False
