repo,stars,forks,watchers,deleted,private,archived,disabled
starkedg/quantum-mechanics,-1,-1,-1,False,True,False,False
starkedg/quantum-mechanics-with-python,-1,-1,-1,False,True,False,False
starkedge-123/shopify,0,0,0,False,False,False,False
starkedge42/junit-mockito,0,0,1,False,False,False,False
starkedge42/junit-mockito-practice,-1,-1,-1,False,True,False,False
starkedgedev/taste_vi,-1,-1,-1,False,True,False,False
starkedgegagan/tamweenclient,-1,-1,-1,False,True,False,False
starkedgeruchi/project1,0,0,1,False,False,False,False
starkedgeruchi/test,-1,-1,-1,False,True,False,False
starkedith/project,0,0,1,False,False,False,False
starkedward/100-days-of-code-excercises-and-projects,0,0,1,False,False,False,False
starkedward/300-python-examples,0,0,1,False,False,False,False
starkedward/assignment-day-1-python,2,1,1,False,False,False,False
starkedward/core-python,1,0,1,False,False,False,False
starkedward/day-2-project-,-1,-1,-1,False,True,False,False
starkedward/day-2-python-project,-1,-1,-1,False,True,False,False
starkedward/day-3-python,-1,-1,-1,False,True,False,False
starkedward/python-pattern-programs,0,0,1,False,False,False,False
starkedward/python-zero-to-hero,2,1,1,False,False,False,False
starkedward/starkedward,-1,-1,-1,False,True,False,False
starkeen/behat-code-coverage,0,0,2,False,False,False,False
starkeen/kanban-meter,0,0,1,False,False,False,False
starkeen/ourways,-1,-1,-1,False,True,False,False
starkeen/urunet,-1,-1,-1,False,True,False,False
starkeen1/htaccess-force-ssl,0,0,2,False,False,False,False
starkeen1/starkeen1.github.io,0,0,2,False,False,False,False
starkeenrico/jenkinstest,0,0,1,False,False,False,False
starkeenrico/nameregistrydatabase,0,0,1,False,False,False,False
starkeenrico/sitecorexp,0,0,1,False,False,False,False
starkeenrico/terraform-azure-test,0,1,1,False,False,False,False
starkeeny/angularpwa,0,0,2,False,False,True,False
starkeeny/awesome-codingsamples,-1,-1,-1,False,True,False,False
starkeeny/bachelorthesiscontent,0,0,2,False,False,False,False
starkeeny/csse,0,0,2,False,False,True,False
starkeeny/dobedobedo,-1,-1,-1,False,True,False,False
starkeeny/flipbytime,0,0,2,False,False,False,False
starkeeny/metro,-1,-1,-1,False,True,False,False
starkeeny/notificationsapi-samples,0,0,2,False,False,True,False
starkeeny/patternrepo,-1,-1,-1,False,True,False,False
starkeeny/plusminustasks,0,0,2,False,False,False,False
starkeeny/researchproposalcontent,3,1,2,False,False,False,False
starkeeny/ssds,0,0,2,False,False,False,False
starkeeny/starkeeny.github.io,0,0,2,False,False,False,False
starkeeny/statichtml5pagestartup,-1,-1,-1,False,True,False,False
starkeeny/stronglytypedenumt,0,0,2,False,False,False,False
starkeeny/system.linq.levenshteindistance,4,0,2,False,False,False,False
starkeeny/web-notifications-intro,0,0,2,False,False,True,False
starkeep/_moddingcode,0,0,2,False,False,False,False
starkeep/archipelago,0,0,0,False,False,False,False
starkeep/bytejam-2020-project,0,0,2,False,False,False,False
starkeep/bytejam2020,0,0,2,False,False,False,False
starkeep/crystal-editor,0,0,0,False,False,False,False
starkeep/discordinteraction,0,1,2,False,False,False,False
starkeep/hello-world,0,0,1,False,False,False,False
starkeeper82/esp-hosted,0,0,0,False,False,False,False
starkeepers/lxd,0,0,0,False,False,False,False
starkeepers/rohlik-wishlist,0,0,1,False,False,False,False
starkeepers/ueberauth,0,0,0,False,False,False,False
starkeepers/ueberauth_keycloak,0,0,0,False,False,False,False
starkeers/minecraft-server,0,0,1,False,False,False,False
starkeffect-007/angular-app,0,2,1,False,False,False,False
starkeffect-007/automated-parking-system-iot-,0,0,1,False,False,False,False
starkeffect-007/data-mining-seeds-classification-,0,0,1,False,False,False,False
starkeffect-007/datasciencecoursera,0,0,1,False,False,False,False
starkeffect-007/encryption,0,0,0,False,False,False,False
starkeffect-007/g_d-suci-project,-1,-1,-1,False,True,False,False
starkeffect-007/java_swing,0,0,1,False,False,False,False
starkeffect/generativecollage,2,0,1,False,False,False,False
starkeffect/slitscan,0,0,1,False,False,False,False
starkeffect/twitterhaiku,1,0,1,False,False,False,False
starkeffect/typography,0,0,1,False,False,False,False
starkeffect/voxelbrush,0,0,1,False,False,False,False
starkefredrik/node_test,0,0,1,False,False,False,False
starkefredrik/node_test2,0,0,1,False,False,False,False
starkeggsy/finmind,0,0,0,False,False,False,False
starkegunnar/kaffebryggare,1,0,2,False,False,False,False
starkegunnar/riscv,0,0,1,False,False,False,False
starkegunnar/vhdl,0,0,1,False,False,False,False
starkei/career-center,3,0,1,False,False,False,False
starkei/daily-planner,0,0,1,False,False,False,False
starkei/final-task,0,0,1,False,False,False,False
starkei/job-search-site,-1,-1,-1,False,True,False,False
starkei/labs,-1,-1,-1,False,True,False,False
starkei/olympia-client,0,0,1,False,False,False,False
starkei/olympia-server,0,0,1,False,False,False,False
starkei/portfolio,-1,-1,-1,False,True,False,False
starkei/ravnosaes,-1,-1,-1,False,True,False,False
starkei/riotservice,0,0,1,False,False,False,False
starkei/sebastian-discord-bot,0,0,1,False,False,False,False
starkei/standart-portfolio,-1,-1,-1,False,True,False,False
starkei/task-summary,-1,-1,-1,False,True,False,False
starkei/templates,-1,-1,-1,False,True,False,False
starkei/trash,-1,-1,-1,False,True,False,False
starkei/typesoftea,-1,-1,-1,False,True,False,False
starkei/typespeedtest,-1,-1,-1,False,True,False,False
starkei/viber-eng-transcription-bot,0,0,1,False,False,False,False
starkei/yachts,1,0,1,False,False,False,False
starkeiser/array-map-filter,-1,-1,-1,False,True,False,False
starkeiser/clo-site,-1,-1,-1,False,True,False,False
starkeiser/hyperapp-test,-1,-1,-1,False,True,False,False
starkeiser/js-training,-1,-1,-1,False,True,False,False
starkeiser/prez,-1,-1,-1,False,True,False,False
starkeiser/quete-angular,-1,-1,-1,False,True,False,False
starkeiser/router-test,-1,-1,-1,False,True,False,False
