repo,stars,forks,watchers,deleted,private,archived,disabled
itztli/nbody-c,0,0,2,False,False,False,False
itztli/nbody2021,0,1,1,False,False,False,False
itztli/nibbles,0,0,2,False,False,False,False
itztli/nobody2023-1,0,0,2,False,False,False,False
itztli/pakal,-1,-1,-1,False,True,False,False
itztli/pakal-utils,0,0,2,False,False,False,False
itztli/poll,0,0,2,False,False,False,False
itztli/polls-2022-1,0,0,1,False,False,False,False
itztli/project-geometry2023-1,0,0,1,False,False,False,False
itztli/radiative2021,0,1,1,False,False,False,False
itztli/registrationmaker,-1,-1,-1,False,True,False,False
itztli/rte,0,0,2,False,False,False,False
itztli/testing,1,0,4,False,False,False,False
itztli/transmission,0,0,2,False,False,False,False
itztlidelarosa/holamundo,0,0,1,False,False,False,False
itztlidelarosa/holamundojsp,0,0,1,False,False,False,False
itztlidelarosa/holaservlet,0,0,1,False,False,False,False
itztlisanchez/itztli,0,0,1,False,False,False,False
itztlisanchez/trejo-sanchez-2020,0,0,0,False,False,False,False
itztmbb/krunker.io-translations,0,0,0,False,False,False,False
itztobias/betterlibrary,-1,-1,-1,False,True,False,False
itztobias/hypixel-skyblock-event-reminder,-1,-1,-1,False,True,False,False
itztobias/hypixel-skyblock-event-timer-discord-bot,-1,-1,-1,False,True,False,False
itztobias/hypixel-skyblock-event-timers-discord-bot,-1,-1,-1,False,True,False,False
itztobias/minecraftservers,0,0,1,False,False,False,False
itztobias/server-manager,0,0,1,False,False,False,False
itztobias/servermanagerframework,0,0,1,False,False,False,False
itztobias/skyblock-timers,-1,-1,-1,False,True,False,False
itztobias/winget-pkgs,-1,-1,-1,False,True,False,False
itztobz/elainabot,-1,-1,-1,False,True,False,False
itztobz/hacktoberfest-indonesia,-1,-1,-1,False,True,False,False
itztobz/itztobz,-1,-1,-1,False,True,False,False
itztobz/megumikato,-1,-1,-1,False,True,False,False
itztobz/megumikato2,-1,-1,-1,False,True,False,False
itztobz/saycheese,-1,-1,-1,False,True,False,False
itztobz/termux-whatsapp-bot,-1,-1,-1,False,True,False,False
itztobz/tobybotoa,-1,-1,-1,False,True,False,False
itztobz/virus,-1,-1,-1,False,True,False,False
itztobz/webdavdeface,-1,-1,-1,False,True,False,False
itztobz/whatsapp-bot,-1,-1,-1,False,True,False,False
itztofu/texture-pack,0,0,1,False,False,False,False
itztom71/itznoman-71,0,0,1,False,False,False,False
itztomato/itztomato,0,0,1,False,False,False,False
itztomber/godot-simple-fps-controller,0,0,1,False,False,False,False
itztommy2206/codingdojo,0,0,1,False,False,True,False
itztommy2206/codingdojo_clubs_finals,0,0,1,False,False,False,False
itztommy2206/group_project_dojo,2,0,2,False,False,False,False
itztommy2206/loginpage,0,0,1,False,False,False,False
