repo,stars,forks,watchers,deleted,private,archived,disabled
mamacdon/ui-toolchain-demo-mamacdon-1454961582284,-1,-1,-1,False,True,False,False
mamacdon/ui-toolchain-demo-nanmaba,-1,-1,-1,False,True,False,False
mamacdon/ui-toolchain-demo-newtyemplate,-1,-1,-1,False,True,False,False
mamacdon/ui-toolchain-dezzzzzzzaaaa,-1,-1,-1,False,True,False,False
mamacdon/ui-toolchain-msdemo,-1,-1,-1,False,True,False,False
mamacdon/unicrud,1,0,3,False,False,False,False
mamacdon/v1-to-v2-toolchain,-1,-1,-1,False,True,False,False
mamacdon/visual-recognition-nodejs,-1,-1,-1,False,True,False,False
mamacdon/visual-recognition-nodejs-20170517133312546,-1,-1,-1,False,True,False,False
mamacdon/visual-recognition-nodejs-20170517133601480,-1,-1,-1,False,True,False,False
mamacdon/visual-recognition-nodejs-20170517143133901,-1,-1,-1,False,True,False,False
mamacdon/vomitarium-1478902413175,-1,-1,-1,False,True,False,False
mamacdon/vomitarium-1481219924579,-1,-1,-1,False,True,False,False
mamacdon/weirdfortune,-1,-1,-1,False,True,False,False
mamacdon/whygodwhy-1469800170984,-1,-1,-1,False,True,False,False
mamacdon/wizzo-1464809514806,-1,-1,-1,False,True,False,False
mamacdonald/mamacdonald,0,0,1,False,False,False,False
mamacedo23/1era-entrega-gonzales-macedo,0,0,1,False,False,False,False
mamacedo23/1era-entrega-python-gonzales-kevin,0,0,1,False,False,False,False
mamaceecee/mamaceeceexo,0,0,1,False,False,False,False
mamaceleste/hackathon-starter,0,0,0,False,False,False,False
mamaceleste/readme,0,0,0,False,False,False,False
mamaceleste/starter-node-angular,0,0,0,False,False,False,False
mamaceleste/stretching,0,0,0,False,False,False,False
mamach/angular6-with-bootstrap4,-1,-1,-1,False,True,False,False
mamach/angularapp,-1,-1,-1,False,True,False,False
mamach/apartment_management,0,0,1,False,False,False,False
mamach/aynictest,-1,-1,-1,False,True,False,False
mamach/chat_socket.io,-1,-1,-1,False,True,False,False
mamach/chrome-extension-hello,0,0,2,False,False,False,False
mamach/cydia,1,0,2,False,False,False,False
mamach/gptj-chat,0,0,1,False,False,False,False
mamach/hellomap,-1,-1,-1,False,True,False,False
mamach/hellomap-api,-1,-1,-1,False,True,False,False
mamach/helloworldapps,-1,-1,-1,False,True,False,False
mamach/help,-1,-1,-1,False,True,False,False
mamach/image2text,-1,-1,-1,False,True,False,False
mamach/invoice_data_preparation,0,0,2,False,False,False,False
mamach/maheshchandra.com,0,0,2,False,False,False,False
mamach/minutemaker,-1,-1,-1,False,True,False,False
mamach/my_css_bank,0,0,2,False,False,False,False
mamach/ngsession1.0,-1,-1,-1,False,True,False,False
mamach/ngtrainingadt,-1,-1,-1,False,True,False,False
mamach/node-sample-repo,-1,-1,-1,False,True,False,False
mamach/projectx,-1,-1,-1,False,True,False,False
mamach/readandshowimg_opencv,0,0,2,False,False,False,False
mamach/remotetest,-1,-1,-1,False,True,False,False
mamach/rtl8188eu_ubuntu_drivers,0,0,1,False,False,False,False
mamach/scripts,0,0,1,False,False,False,False
mamach/sockets,-1,-1,-1,False,True,False,False
mamach/sreeha.com,0,0,2,False,False,False,False
mamach/test,-1,-1,-1,False,True,False,False
mamach/todoapi,-1,-1,-1,False,True,False,False
mamach/ui-work-flow-with-gulp-and-sass,-1,-1,-1,False,True,False,False
mamach/web-server,-1,-1,-1,False,True,False,False
mamach86/react-native-elements,0,0,1,False,False,False,False
mamachado22/dsw-manuelmachado,0,0,1,False,False,False,False
mamachadx/-anatureza-pede-socorro-,0,0,1,False,False,False,False
mamachadx/a-natureza-pede-socorro,0,0,1,False,False,False,False
mamachadx/curiosidades-do-handebol,-1,-1,-1,False,True,False,False
mamachadx/handebolius,-1,-1,-1,False,True,False,False
mamachadx/machado-art,-1,-1,-1,False,True,False,False
mamachadx/meu-site,-1,-1,-1,False,True,False,False
mamachadx/o-que-o-handebol,-1,-1,-1,False,True,False,False
mamachadx/pw-trab,0,0,1,False,False,False,False
mamachadx/saiba-mais-sobre-o-handebol,-1,-1,-1,False,True,False,False
mamachadx/teste1,-1,-1,-1,False,True,False,False
mamachan/test,0,0,1,False,False,False,False
mamachan/tp2mgv,0,0,2,False,False,False,False
mamachan/tpfinal_martine,0,0,1,False,False,False,False
mamachang/mamachang,0,0,1,False,False,False,False
mamachanko/2048,3,1,2,False,False,False,False
mamachanko/animal-rescue-dotnet,0,0,2,False,False,False,False
mamachanko/ankify,2,0,1,False,False,False,False
mamachanko/api-client-demo,0,0,1,False,False,False,False
mamachanko/blessed,0,0,1,False,False,False,False
mamachanko/blessed-contrib,0,0,1,False,False,False,False
mamachanko/blessed-playground,0,0,1,False,False,False,False
mamachanko/boxodus,0,0,1,False,False,False,False
mamachanko/camp,0,0,1,False,False,False,False
mamachanko/capture-video-stills,0,0,1,False,False,False,False
mamachanko/carvel,0,0,1,False,False,False,False
mamachanko/carvel-demo,1,0,2,False,False,False,False
mamachanko/carvel-kapp,0,0,1,False,False,False,False
