repo,stars,forks,watchers,deleted,private,archived,disabled
jaxonzku/ictproject,-1,-1,-1,False,True,False,False
jaxonzku/jarvis,0,0,1,False,False,False,False
jaxonzku/jaxonzku.github.io,-1,-1,-1,False,True,False,False
jaxonzku/jyothi_opensource_foss,-1,-1,-1,False,True,False,False
jaxonzku/library_management,0,0,1,False,False,False,False
jaxonzku/shellphish,-1,-1,-1,False,True,False,False
jaxonzku/system-soft-lab,-1,-1,-1,False,True,False,False
jaxonzoro/jaxon,0,0,2,False,False,False,False
jaxoo16/hfs-bot,-1,-1,-1,False,True,False,False
jaxoo16/hidden-bot,-1,-1,-1,False,True,False,False
jaxooaco/book-library,-1,-1,-1,False,True,False,False
jaxooaco/fibonaccirecursion,-1,-1,-1,False,True,False,False
jaxooaco/staff-members,-1,-1,-1,False,True,False,False
jaxoon16/django,0,0,1,False,False,False,False
jaxoon16/jaxoon16,0,0,1,False,False,False,False
jaxoon16/jaxoon16.github.io,0,0,1,False,False,False,False
jaxooob/hello-world,0,0,1,False,False,False,False
jaxooon/battle-tank,0,0,1,False,False,False,False
jaxooon/cpp-console-engine,0,0,1,False,False,False,False
jaxooon/dicemachine,-1,-1,-1,False,True,False,False
jaxooon/js-regex,0,0,0,False,False,False,False
jaxooon/node-weather-website,0,0,1,False,False,False,False
jaxooon/pixel-rpg,0,0,1,False,False,False,False
jaxooon/py-regex,0,0,0,False,False,False,False
jaxooon/sfml-simple-game-engine,0,0,1,False,False,False,False
jaxooon/warhammer-fantasy-6th-edition,0,0,0,False,False,False,False
jaxophon/cubestats,-1,-1,-1,False,True,False,False
jaxophon/elytrengame,-1,-1,-1,False,True,False,False
jaxophon/elytrengames,-1,-1,-1,False,True,False,False
jaxophon/elytrengamesv2,-1,-1,-1,False,True,False,False
jaxophon/homes,0,0,1,False,False,False,False
jaxophon/kochbuch,-1,-1,-1,False,True,False,False
jaxophon/mo-food,-1,-1,-1,False,True,False,False
jaxophon/mysqlapi,-1,-1,-1,False,True,False,False
jaxophon/questy,-1,-1,-1,False,True,False,False
jaxophon/simple-mysql-api,0,0,0,False,False,False,False
jaxophon/sleiferhd,-1,-1,-1,False,True,False,False
jaxophon/test,-1,-1,-1,False,True,False,False
jaxophon/test2,-1,-1,-1,False,True,False,False
jaxophone/jaxophone,0,0,1,False,False,False,False
jaxopo/-sss,0,0,1,False,False,False,False
jaxopo/sdfghjkl-,0,0,1,False,False,False,False
jaxopoulos/exercises,0,0,0,False,False,False,False
jaxopoulos/projects,-1,-1,-1,False,True,False,False
jaxopoulos/vault,-1,-1,-1,False,True,False,False
jaxopp/jaxopp,0,0,1,False,False,False,False
jaxopt/jaxopt.github.io,0,1,1,False,False,False,False
jaxor/-sourcemod-party-menu,-1,-1,-1,False,True,False,False
jaxor/adv-reader,-1,-1,-1,False,True,False,False
jaxor/sxestatus,-1,-1,-1,False,True,False,False
jaxor1337/i-1-16_anokhin,-1,-1,-1,False,True,False,False
jaxor1337/i-1-16_kp_01,-1,-1,-1,False,True,False,False
jaxor1337/i-1-16_up.02.01_01,-1,-1,-1,False,True,False,False
jaxor24/jsolve,7,0,1,False,False,False,False
jaxor24/jsolver,7,0,1,False,False,False,False
jaxorama/dbus-tutorial,-1,-1,-1,False,True,False,False
jaxorama/linuxipc,-1,-1,-1,False,True,False,False
