repo,stars,forks,watchers,deleted,private,archived,disabled
sankarhari/tec,-1,-1,-1,False,True,False,False
sankarhari/technix-site-update-2015,-1,-1,-1,False,True,False,False
sankarhari/test,-1,-1,-1,False,True,False,False
sankarhari/test1,-1,-1,-1,False,True,False,False
sankarhari/thegalaxyhsr,0,0,0,False,False,False,False
sankarhari/twitter_sentiment_analysis,0,0,1,False,False,False,False
sankarhari1995/grafiya15,-1,-1,-1,False,True,False,False
sankarhari1995/grafiya15v2.0,-1,-1,-1,False,True,False,False
sankarhari1995/grafiya2016,-1,-1,-1,False,True,False,False
sankarhari1995/m.techcsenotes,-1,-1,-1,False,True,False,False
sankarhari1995/ncnc-2015,-1,-1,-1,False,True,False,False
sankarhari1995/technixsiteupdate2015,-1,-1,-1,False,True,False,False
sankarhari1995/thegalaxyhsr,-1,-1,-1,False,True,False,False
sankarharish/sankar,0,0,0,False,False,False,False
sankarhere/sankar-files,0,0,0,False,False,False,False
sankarhima002/tutorial,0,0,1,False,False,False,False
sankarhp/firstrepo,-1,-1,-1,False,True,False,False
sankarhp/sankarhp_repo1,0,0,4,False,False,False,False
sankarhp/sankarhp_repo2,0,0,2,False,False,False,False
sankarhp1/repo1,-1,-1,-1,False,True,False,False
sankarhp1/sankarhp1_repo1,-1,-1,-1,False,True,False,False
sankarhp1/sankarhp1_repo2,-1,-1,-1,False,True,False,False
sankarhp1/test,-1,-1,-1,False,True,False,False
sankarhq/sankarhq.github.io,0,0,0,False,False,False,False
sankari-14/ipl-dashboard,0,0,1,False,False,False,False
sankari-14/pharma-dashboard,0,0,1,False,False,False,False
sankari-ally/project2,0,0,1,False,False,False,False
sankari-balasubramaniyan/ball-tracking-by-color,0,0,1,False,False,False,False
sankari-balasubramaniyan/classification-of-data,0,0,1,False,False,False,False
sankari-balasubramaniyan/crytpography,0,0,1,False,False,False,False
sankari-balasubramaniyan/file_system,1,0,1,False,False,False,False
sankari-balasubramaniyan/ftpclient,0,0,1,False,False,False,False
sankari-balasubramaniyan/ftpserver,0,0,1,False,False,False,False
sankari-balasubramaniyan/hexapawn,0,0,1,False,False,False,False
sankari-balasubramaniyan/https-sankari-balasubramaniyan.github.io-,-1,-1,-1,False,True,False,False
sankari-balasubramaniyan/monolayer-graphene,0,0,1,False,False,False,False
sankari-balasubramaniyan/robotics,0,0,1,False,False,False,False
sankari-balasubramaniyan/sankari-balasubramaniyan,0,0,1,False,False,False,False
sankari-balasubramaniyan/sankari-balasubramaniyan.github.io,0,0,1,False,False,False,False
sankari-balasubramaniyan/traffic_sign_recognition,0,0,1,False,False,False,False
sankari-bharath/ep-connect,-1,-1,-1,False,True,False,False
sankari-bharath/ep_connect,-1,-1,-1,False,True,False,False
sankari-bharath/test,0,0,1,False,False,False,False
sankari-chelliah/python,0,0,1,False,False,False,False
sankari-chelliah/sql,0,0,1,False,False,False,False
sankari-hacker/sankari-hacker,0,0,1,False,False,False,False
sankari-hacker/snakes,0,0,1,False,False,False,False
sankari-k/admin-dashboard,0,0,1,False,False,False,False
sankari-k/advent-of-code-2022,0,0,1,False,False,False,False
sankari-k/attendance-automation,0,0,1,False,False,False,False
sankari-k/calculator,0,0,1,False,False,False,False
sankari-k/css-exercises,0,0,0,False,False,False,False
sankari-k/dummy-portfolio,-1,-1,-1,False,True,False,False
sankari-k/end-credits-ordering,-1,-1,-1,False,True,False,False
sankari-k/etch-a-sketch,0,0,1,False,False,False,False
sankari-k/landing-page,0,0,1,False,False,False,False
sankari-k/mathgenerator,0,0,0,False,False,False,False
sankari-k/mini_python_projects,-1,-1,-1,False,True,False,False
sankari-k/odin-recipes,0,0,1,False,False,False,False
sankari-k/restaurant-page,0,0,1,False,False,False,False
sankari-k/rock-paper-scissors,0,0,1,False,False,False,False
