repo,stars,forks,watchers,deleted,private,archived,disabled
hmnathel/evaluating-regression-lines-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/excel-to-python-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/expressing-functions-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/filter-readme-python-data-science-intro-000,0,0,1,False,False,False,False
hmnathel/for-loops-readme-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/function-arguments-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/function-arguments-readme-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/git_practice,0,0,0,False,False,False,False
hmnathel/gradient-descent-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/gradient-descent-step-sizes-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/gradient-descent-step-sizes-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/gradient-to-cost-function-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/html-links-lab-nyc-ds-071519,0,0,0,False,False,False,False
hmnathel/introduction-to-derivatives-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/introduction-to-derivatives-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/introduction-to-functions-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/jupyter-notebook-introduction-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/learn-co-sandbox,0,0,0,False,False,False,False
hmnathel/map-filter-lab-python-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/map-readme-python-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/multivariable-calculus-gradient-descent-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/multivariable-functions-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/nearest-neighbors-lab-data-science-intro-000,0,0,1,False,False,False,False
hmnathel/nearest-neighbors-readme-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/nonlinear-derivatives-readme-data-science-intro-000,0,0,1,False,False,False,False
hmnathel/nyc-mhtn-ds-071519-lectures,0,0,1,False,False,False,False
hmnathel/partial-derivatives-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/plotly-basics-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/plotly-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/plotting-data-lab-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/plotting-data-readme-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/py-lists-with-maps-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/python-defining-functions-readme-data-science-intro-000,0,0,0,False,False,False,False
hmnathel/python-dictionaries-lab-data-science-intro-000,0,0,0,False,False,False,False
