repo,stars,forks,watchers,deleted,private,archived,disabled
misagul/car-price-tf,-1,-1,-1,False,True,False,False
misagul/convolution-matlab,-1,-1,-1,False,True,False,False
misagul/course-registration,-1,-1,-1,False,True,False,False
misagul/dtmf-decoder,-1,-1,-1,False,True,False,False
misagul/freechegganswerdcbot,-1,-1,-1,False,True,False,False
misagul/kodluyoruzilkrepo,-1,-1,-1,False,True,False,False
misagul/mezun-app,0,0,1,False,False,False,False
misagul/numerical_analysis,-1,-1,-1,False,True,False,False
misagul/patika-cleanblog,0,0,1,False,False,False,False
misagul/patika-nodejs,0,0,1,False,False,False,False
misagul/patika-pcat,0,0,1,False,False,False,False
misagul/sayisal_analiz,-1,-1,-1,False,True,False,False
misagul/strand-sort,-1,-1,-1,False,True,False,False
misagul/strand_sort,-1,-1,-1,False,True,False,False
misagul/ytu,0,0,1,False,False,False,False
misagul/ytu-ce,0,0,1,False,False,False,False
misagustina/tugas-coding,0,0,1,False,False,False,False
misah/misah,0,0,0,False,False,False,False
misah442/misah442,0,0,1,False,False,False,False
misaha/curly-octo-tribble,0,0,1,False,False,False,False
misahabb/api-python,0,0,1,False,False,False,False
misahabb/my_printf,-1,-1,-1,False,True,False,False
misahabb/save-artifice,-1,-1,-1,False,True,False,False
misahack/coding-repository---lihvar-ek-mi-a,0,1,0,False,False,False,False
misahack/jslearning,0,1,0,False,False,False,False
misahack/misa_lihvarcek,0,1,0,False,False,False,False
misahack/phaser-project,0,0,1,False,False,False,False
misahack/star-wars-characters-popularity,0,0,1,False,False,False,False
misahack/tdd_demo,0,0,1,False,False,False,False
misahack/videoservicedemo,0,0,1,False,False,False,False
misahana/tutorial,0,0,0,False,False,False,False
misahara/animeanalysistg-bot,1,0,1,False,False,False,False
misahara/calcualator,0,0,1,False,False,False,False
misahara/findtours_patternbuilder,-1,-1,-1,False,True,False,False
misahara/gametext,-1,-1,-1,False,True,False,False
misahara/nakonec,-1,-1,-1,False,True,False,False
misahara/phone-book,-1,-1,-1,False,True,False,False
misahara/phonebook,0,0,1,False,False,False,False
misahara/swot,-1,-1,-1,False,True,False,False
misahara/to-do-list,-1,-1,-1,False,True,False,False
misahara/todolist,1,0,1,False,False,False,False
misahayashida/nanomi,0,0,1,False,False,False,False
misahayashida/nanomi-1,0,0,0,False,False,False,False
misahcoding/fudite,0,0,1,False,False,False,False
misahcoding/misahcoding,0,0,1,False,False,False,False
misahdesign/kerzenlicht,0,0,0,False,False,False,False
misahe/emmyage,-1,-1,-1,False,True,False,False
misaher/apisseg,-1,-1,-1,False,True,False,False
misaher/appmovilpara_emulador,0,0,1,False,False,False,False
misaher/backtesjo,0,0,1,False,False,False,False
misaher/constancias,0,0,1,False,False,False,False
misaher/examen,0,0,1,False,False,False,False
misaher/prueba-,0,0,1,False,False,False,False
misaher/seguros,0,0,1,False,False,False,False
misaher/simulador,0,0,1,False,False,False,False
misaher/sistematesjo,0,0,1,False,False,False,False
misaher/xday,0,0,1,False,False,False,False
misaher/xday2,-1,-1,-1,False,True,False,False
misaherianova/weap_herianova,0,0,1,False,False,False,False
misahh-wsb/javasaninwsb,-1,-1,-1,False,True,False,False
misahh-wsb/javawsbsanin,0,0,1,False,False,False,False
misahh-wsb/narz.wsp.wyt.opr.lab1,0,0,1,False,False,False,False
misahh-wsb/pwa,0,0,1,False,False,False,False
misahh-wsb/wsbjavasanin,-1,-1,-1,False,True,False,False
misahh/misahh.github.io,0,0,1,False,False,False,False
misahhh/new,0,0,1,False,False,False,False
misahiroyuki/aboutme,-1,-1,-1,False,True,False,False
misahky/misahky.github.io,-1,-1,-1,False,True,False,False
misahky/scots-training-ground,-1,-1,-1,False,True,False,False
misahky/your-first-lab-cb-gh-000,-1,-1,-1,False,True,False,False
misahoby/dice-game,0,0,1,False,False,False,False
misahoby/frankenstein,0,0,1,False,False,False,False
misahoby/frankenstein-stage,0,1,1,False,False,False,False
misahoby/lacash-swap,-1,-1,-1,False,True,False,False
misahoby/meta-vice,0,1,1,False,False,False,False
misahoby/space_warrior,0,1,1,False,False,False,False
misahoby/vaporblitz-nft-game,-1,-1,-1,False,True,False,False
misahojjat/bank-marketing_r,-1,-1,-1,False,True,False,False
misahojjat/data-analysis,-1,-1,-1,False,True,False,False
misahojjat/loan-approval-decision-making-r-tableau,-1,-1,-1,False,True,False,False
misahojjat/movielens_hiveql,-1,-1,-1,False,True,False,False
misahojjat/potential-employment-candidate-python,-1,-1,-1,False,True,False,False
misahojjat/real-business-dataset-advanced-sql,-1,-1,-1,False,True,False,False
misahojjat/sql-query,-1,-1,-1,False,True,False,False
misahojjat/text-mining,0,0,0,False,False,False,False
misahojjat/twitter_pig-scripts,-1,-1,-1,False,True,False,False
misahok/curriculum,0,0,1,False,False,False,False
misahor67/ejemplodeusocinycout,-1,-1,-1,False,True,False,False
misahor67/hyperblog,-1,-1,-1,False,True,False,False
misahor67/practicando,-1,-1,-1,False,True,False,False
misahor67/resumen-de-assembler-y-del-depurador-gdb,0,0,1,False,False,False,False
misahor67/usodeldepuradorenasm,0,0,1,False,False,False,False
misahor67/utilidadparalab2,0,0,1,False,False,False,False
misahoskova/principypocitacu,0,0,1,False,False,False,False
misahoskova/spsstmaturita,0,0,0,False,False,False,False
misahribova/engetocz,1,0,1,False,False,False,False
misahromkova/myfirstrepository,0,0,1,False,False,False,False
misahtarf/i-m-new,0,0,1,False,False,False,False
misahw/misahw.github.io,0,0,2,False,False,False,False
misahyau/misahyau-,0,0,1,False,False,False,False
misahyun/hacktoberfest,0,2,1,False,False,False,False
misaia/20210218,-1,-1,-1,False,True,False,False
misaia/actions-openwrt20230503,0,0,0,False,False,False,False
misaia/autobuild-lede20221118,0,0,0,False,False,False,False
misaia/autobuild-openwrt,-1,-1,-1,False,True,False,False
misaia/fq-book,0,0,0,False,False,False,False
misaia/k3opwrt,0,0,1,False,False,False,False
misaia/lede,0,0,0,False,False,False,False
misaia/lede20210218,-1,-1,-1,False,True,False,False
misaia/n1,-1,-1,-1,False,True,False,False
misaia/n1openwrt,-1,-1,-1,False,True,False,False
misaia/openwrt2020417,-1,-1,-1,False,True,False,False
misaia/p32lede20220327,-1,-1,-1,False,True,False,False
misaia/p3terx-actions-20221118,-1,-1,-1,False,True,False,False
misaia/p3terx-openwrt20220820,-1,-1,-1,False,True,False,False
misaia/x86opwrt,-1,-1,-1,False,True,False,False
misaiah/albumpage,-1,-1,-1,False,True,False,False
misaiah/contactus.html,-1,-1,-1,False,True,False,False
misaiah/introtowebdev1,-1,-1,-1,False,True,False,False
misaiah/lab-restaurantsitev1,-1,-1,-1,False,True,False,False
misaiah/labb-restaurantsitev4,-1,-1,-1,False,True,False,False
misaiah/restaurantversion2,-1,-1,-1,False,True,False,False
misaiah/restaurantversion2018,-1,-1,-1,False,True,False,False
misaiah/travel-site,-1,-1,-1,False,True,False,False
misaiahh/mary-jo-lisa-api,0,0,1,False,False,False,False
misaiahhpro/sv-vendor-portal,0,0,1,False,False,False,False
misaianess/async-landing,0,0,1,False,False,False,False
misaianess/misaianess.github.io,0,0,1,False,False,False,False
misaianess/myrepository,0,0,1,False,False,False,False
misaianess/portfolio,0,0,1,False,False,False,False
misaiannes6/pontamedia-lib,0,0,1,False,False,False,False
misaias2023/logica-de-programacao-e-algoritmos-zero-um,0,0,0,False,False,False,False
misaid/misaid,0,0,1,False,False,False,False
misaid/resume-website,0,0,1,False,False,False,False
misaidris/pos,0,0,0,False,False,False,False
misaiedownpour/my-first-chat,-1,-1,-1,False,True,False,False
misaienko/xcode_tasks,0,0,1,False,False,False,False
misaif/a-popular-open-source-software,-1,-1,-1,False,True,False,False
misaif/pys,0,0,1,False,False,False,False
misaiii/rulebased-chatbot,0,0,0,False,False,False,False
misaijan/misaijan,0,0,1,False,False,False,False
misaijar/test,-1,-1,-1,False,True,False,False
misaijo/exercises,0,0,1,False,False,False,False
misaikat98/cv-saikat,0,0,1,False,False,False,False
misaikat98/mi.saikat-cv,0,0,2,False,False,False,False
misaiko/aij,-1,-1,-1,False,True,False,False
misaiko/aij_test,-1,-1,-1,False,True,False,False
misaiko/aij_test2,-1,-1,-1,False,True,False,False
misaikon97/misaikon97,0,0,1,False,False,False,False
misaikun/study-system,0,0,1,False,False,False,False
misail135/7-3-2021,0,0,1,False,False,False,False
misail135/checklist,0,0,1,False,False,False,False
misaila/aproject,-1,-1,-1,False,True,False,False
misailairina/solid_exer,0,0,1,False,False,False,False
misaile/application,-1,-1,-1,False,True,False,False
misaile/application-,-1,-1,-1,False,True,False,False
misaile/armourers-workshop,-1,-1,-1,False,True,False,False
misaile/bilibiliblevel,-1,-1,-1,True,False,False,False
misaile/blog,-1,-1,-1,False,True,False,False
misaile/epiphyllum,-1,-1,-1,False,True,False,False
misaile/galaxy,1,0,1,False,False,False,False
misaile/hexoblog,-1,-1,-1,False,True,False,False
misaile/laciamtheme,-1,-1,-1,False,True,False,False
misaile/march,-1,-1,-1,False,True,False,False
misaile/march-hare,-1,-1,-1,False,True,False,False
misaile/mauger,-1,-1,-1,False,True,False,False
misaile/mbanitem,-1,-1,-1,False,True,False,False
misaile/middleschoolessenitals,-1,-1,-1,False,True,False,False
misaile/misaile,-1,-1,-1,False,True,False,False
misaile/moonlight,-1,-1,-1,False,True,False,False
misaile/moonlightdownloader,-1,-1,-1,False,True,False,False
misaile/northwest,1,1,1,False,False,False,False
misaile/numbness,-1,-1,-1,False,True,False,False
misaile/sycielarc,-1,-1,-1,False,True,False,False
misaile/timezone,-1,-1,-1,False,True,False,False
misaile/web,-1,-1,-1,False,True,False,False
misaile123/web,-1,-1,-1,False,True,False,False
misailer/myapps,0,0,1,False,False,False,False

==> all_repos12265.csv <==
misailronza/netology_pyda,0,0,1,False,False,False,False
misaim/ebl-reading,7,1,2,False,False,False,False
misaim/pixi.js-demo-site,-1,-1,-1,False,True,False,False
misaim/pixi.js_demo,-1,-1,-1,False,True,False,False
misaim/png-expand,0,0,1,False,False,False,False
misaim/puddletag,0,0,0,False,False,False,False
misaim/side-launch,0,0,2,False,False,False,False
misaim/tiny_rust_wasm,0,0,1,False,False,False,False
misaimbiru/misaimbiru,0,0,1,False,False,False,False
misaiming/github-slideshow,0,0,1,False,False,False,False
misaina-michael/lawapp,-1,-1,-1,False,True,False,False
misaina/api-test,-1,-1,-1,False,True,False,False
misaina/front-test,-1,-1,-1,False,True,False,False
misaina08/easyshop,0,0,0,False,False,False,False
misaina08/ibuy-mobile,0,0,0,False,False,False,False
misaina08/ibuy-web,0,0,0,False,False,False,False
misaina08/lawweb,0,0,0,False,False,False,False
misaina08/misaina-js,0,0,0,False,False,False,False
misaina08/misaina08.github.io,-1,-1,-1,False,True,False,False
misaina08/moteur_java,0,0,1,False,False,False,False
misaina08/nfc-easyshop,0,0,0,False,False,False,False
misaina08/semigany,-1,-1,-1,False,True,False,False
misaina08/simple-java-maven-app,0,0,0,False,False,False,False
misaina08/smartassurance,0,0,0,False,False,False,False
misaina08/stmika,-1,-1,-1,False,True,False,False
misaina08/test-git-openshift,-1,-1,-1,False,True,False,False
misaina08/transversal-web,0,0,0,False,False,False,False
misaina08/whitewolf,-1,-1,-1,False,True,False,False
misaina09/monoply,-1,-1,-1,False,True,False,False
misaina09/monopoly,-1,-1,-1,False,True,False,False
misainsanowazaaa/misainsanowazaaa,0,0,1,False,False,False,False
misaintee/htmlcsspj2,0,0,0,False,False,False,False
misainvest/nightfury,0,0,1,False,False,False,False
misairu-0501/bookers,0,0,1,False,False,False,False
misairu-0501/bookers1-debug,0,0,1,False,False,False,False
misairu-0501/bookers2,0,0,1,False,False,False,False
misairu-0501/bookers2-debug,0,0,1,False,False,False,False
misairu-0501/html_css_study,0,0,1,False,False,False,False
misairu-0501/javascript_study,0,0,1,False,False,False,False
misairu-0501/jquery-lesson,0,0,1,False,False,False,False
misairu-0501/jquery_study,0,0,1,False,False,False,False
misairu-0501/js-debug,0,0,1,False,False,False,False
misairu-0501/python_study,0,0,1,False,False,False,False
misairu-0501/ruby_study,0,0,1,False,False,False,False
misairu-0501/skipper_app,0,0,1,False,False,False,False
misairu-0501/title-4,0,0,1,False,False,False,False
misairu-0501/wanna_try,0,0,1,False,False,False,False
misairu-g/web-practice,0,0,2,False,False,False,False
misairuzame/alacritty-theme,-1,-1,-1,False,True,False,False
misairuzame/angular-exercise-pizzaservice,0,0,1,False,False,False,False
misairuzame/assetscataloguer,-1,-1,-1,False,True,False,False
misairuzame/assetscataloguerpy,0,0,0,False,False,False,False
misairuzame/assetscataloguerpy-1,0,0,0,False,False,False,False
misairuzame/automated-security-helper,0,0,0,False,False,False,False
misairuzame/blockchain-exercise,0,0,1,False,False,False,False
misairuzame/esercizio-helloworld-angular,0,0,1,False,False,False,False
misairuzame/iiot-rabbitmq-ex,0,0,1,False,False,False,False
misairuzame/iiot-rest-client-example,0,0,1,False,False,False,False
misairuzame/lab-iiot-rest-esercizi,0,0,1,False,False,False,False
misairuzame/progetto-isa,0,1,1,False,False,False,False
misairuzame/progetto-techbd,0,0,1,False,False,False,False
misairuzame/rest-api,-1,-1,-1,False,True,False,False
misairuzame/template-driven-form-example,0,0,1,False,False,False,False
