repo,stars,forks,watchers,deleted,private,archived,disabled
afan441524641/ast-,-1,-1,-1,False,True,False,False
afan441524641/blog,-1,-1,-1,False,True,False,False
afan441524641/meiduo,1,0,1,False,False,False,False
afan441524641/perblog,1,0,1,False,False,False,False
afan441524641/py,-1,-1,-1,False,True,False,False
afan520/afan520.github.io,0,0,1,False,False,False,False
afan55/afan55,-1,-1,-1,False,True,False,False
afan6/ai-projects,0,0,0,False,False,False,False
afan6/simple-ai-projects,-1,-1,-1,False,True,False,False
afan6194/myapplication,0,0,0,False,False,False,False
afan69/configcenter,0,0,0,False,False,False,False
afan7/cowplusonlinebeta.github.io,0,0,1,False,False,False,False
afan7/newgene.github.io,0,0,1,False,False,False,False
afan74/afan74,0,0,1,False,False,False,False
afan76781/afan76781,0,1,0,False,False,False,False
afan76781/jani--kdbjbz,0,1,0,False,False,False,False
afan774/afan774,-1,-1,-1,False,True,False,False
afan78/afan78,0,0,1,False,False,False,False
afan904/afan904,0,0,1,False,False,False,False
afan91/capo,0,0,0,False,False,False,False
afan91/direktur_utama,0,0,0,False,False,False,False
afan95/dragrams,0,0,1,False,False,False,False
afan95/leyou,-1,-1,-1,False,True,False,False
afan95/testgit,0,0,2,False,False,False,False
afan962/lrc2srt,0,1,0,False,False,False,False
afan966/afanconf,0,0,1,False,False,False,False
afan966/afanconf.client,0,0,1,False,False,False,False
afan966/afanexcel,0,0,1,False,False,False,False
afan966/dbmgr,0,0,1,False,False,False,False
afan966/springcloudconfig,0,0,1,False,False,False,False
afan966/tools,0,0,1,False,False,False,False
afan966/wechatpay,0,0,1,False,False,False,False
afana1972/blicklingestate_setntinel2_04-2017,-1,-1,-1,False,True,False,False
afana1972/terrainanalysis,-1,-1,-1,False,True,False,False
afana1972/terrainanalysis1,-1,-1,-1,False,True,False,False
afana1972/test_repository,-1,-1,-1,False,True,False,False
afanaa/a,0,0,1,False,False,False,False
afanaa/andriodfinalproject,-1,-1,-1,False,True,False,False
afanaa/comp3111-lab1-2021f,0,0,1,False,False,False,False
