repo,stars,forks,watchers,deleted,private,archived,disabled
yufield/fdev-ci-runner,-1,-1,-1,False,True,False,False
yufield/git-test,-1,-1,-1,False,True,False,False
yufield/github-page,-1,-1,-1,False,True,False,False
yufield/go-study,0,0,1,False,False,False,False
yufield/halo,-1,-1,-1,False,True,False,False
yufield/jd_sign_action,-1,-1,-1,False,True,False,False
yufield/leancloud-cn,-1,-1,-1,False,True,False,False
yufield/leancloud-graphql,-1,-1,-1,False,True,False,False
yufield/leancloud-us,-1,-1,-1,False,True,False,False
yufield/leancloudserver,-1,-1,-1,False,True,False,False
yufield/myblog,-1,-1,-1,False,True,False,False
yufield/myblog-maven-webapp,-1,-1,-1,False,True,False,False
yufield/n-queen,-1,-1,-1,False,True,False,False
yufield/quant,-1,-1,-1,False,True,False,False
yufield/randomwallpaper,0,0,1,False,False,False,False
yufield/reactive-jsx-dom,-1,-1,-1,False,True,False,False
yufield/smzdm_bot,-1,-1,-1,False,True,False,False
yufield/tiebasignin,-1,-1,-1,False,True,False,False
yufield/tsgo,-1,-1,-1,False,True,False,False
yufield/uchub,-1,-1,-1,False,True,False,False
yufield/v2ex-auto-sign,-1,-1,-1,False,True,False,False
yufield/vertx-kotlin,-1,-1,-1,False,True,False,False
yufield/vertx-projec,-1,-1,-1,False,True,False,False
yufield/vertx-project,-1,-1,-1,False,True,False,False
yufield/vue-foldable,-1,-1,-1,False,True,False,False
yufield/yufield,-1,-1,-1,False,True,False,False
yufield/yufield-config-server,-1,-1,-1,False,True,False,False
yufield/yufield.github.io,-1,-1,-1,False,True,False,False
yufifi/estudos-em-c,1,0,1,False,False,False,False
yufiiid/yufiiid,0,0,1,False,False,False,False
yufike/fuzzy-winner,1,0,1,False,False,False,False
yufike/hello-world,1,0,1,False,False,False,False
yufil/ml100days,0,0,1,False,False,False,False
yufilatov/charts-library,0,0,1,False,False,False,False
yufilatov/d3-charts-library,0,0,1,False,False,False,False
yufilatov/ng2,0,0,0,False,False,False,False
yufile/backstagemanagementsystem,0,0,1,False,False,False,False
yufile/blogs,0,0,1,False,False,False,False
yufile/box,0,0,1,False,False,False,False
yufile/fistvue,0,0,1,False,False,False,False
yufile/myfistvueapp,0,0,1,False,False,False,False
yufile/vue-admin-template,1,0,1,False,False,False,False
yufile/wangyiyun,0,0,1,False,False,False,False
yufile/webfiction,-1,-1,-1,False,True,False,False
yufile/webwyy,0,0,1,False,False,False,False
yufile/wxfiction,0,0,1,False,False,False,False
yufile/wyy,0,0,1,False,False,False,False
yufili/gearvrf-demos,0,0,1,False,False,False,False
yufili/sxrsdk,0,0,1,False,False,False,False
yufilia/yufilia,0,0,1,False,False,False,False
yufimar/simulation-7seg-mpx6-cc-with-proteus,0,0,1,False,False,False,False
yufimayep/yufimayep.github.io,-1,-1,-1,False,True,False,False
yufimtsev/yufimtsev.github.io,0,0,1,False,False,False,False
yufin/fq,-1,-1,-1,False,True,False,False
yufin/javabasic_homework,-1,-1,-1,False,True,False,False
yufin/quantaxis,-1,-1,-1,False,True,False,False
yufinex/skkkku,0,0,0,False,False,False,False
yufinex/webparctice,-1,-1,-1,False,True,False,False
yufing/ssm,0,0,1,False,False,False,False
yufio/devopstest,0,9,1,False,False,False,False
yufio/hello-world,0,0,0,False,False,False,False
yufio/life,0,0,0,False,False,False,False
yufio/patch-antenna,0,0,0,False,False,False,False
yufioh/angeel,0,0,1,False,False,False,False
yufioh/anticlockwise,0,0,1,False,False,False,False
yufioh/chungha,0,0,1,False,False,False,False
yufioh/demo-cleo,-1,-1,-1,False,True,False,False
yufioh/demo-yuki,0,0,1,False,False,False,False
yufioh/felizcumplelu,0,0,1,False,False,False,False
yufioh/kag,0,0,1,False,False,False,False
yufioh/nym,0,0,1,False,False,False,False
yufioh/setsuna,0,0,1,False,False,False,False
yufirahmadhani/lks-prov.-2021,-1,-1,-1,False,True,False,False
yufirahmadhani/lks-prov.-2021-,0,0,1,False,False,False,False
yufirahmadhani/lks2021,0,0,1,False,False,False,False
yufirahmadhani/peserta-lks-prov.-smkn-1-batam,-1,-1,-1,False,True,False,False
yufirahmadhani/uas-encrypt,0,0,1,False,False,False,False
yufirahmadhani/upload,-1,-1,-1,False,True,False,False
yufirahmadhani/yufirahmadhani-lks-prov.-2021,-1,-1,-1,False,True,False,False
yufirahmadhani/yufirahmadhani.github.io,0,0,1,False,False,False,False
yufire/aliyun-oss-demo,-1,-1,-1,False,True,False,False
yufire/jsoup-demo,1,0,2,False,False,False,False
yufire/jy-food,-1,-1,-1,False,True,False,False
yufire/yufire.github.io,-1,-1,-1,False,True,False,False
yufireff/eigenval,0,0,1,False,False,False,False
yufireff/reedsolomon,-1,-1,-1,False,True,False,False
yufirevaldo/tugas-desain-web,0,0,0,False,False,False,False
yufirevaldo/tugas-desain-web-bab2,0,0,0,False,False,False,False
yufiriamazenta/craftorithm,13,0,1,False,False,False,False
yufiriamazenta/craftorithm-wiki,0,0,1,False,False,False,False
