repo,stars,forks,watchers,deleted,private,archived,disabled
kbrodt/spacenet-6,3,1,2,False,False,False,False
kbrodt/stc-ml-school-2018,0,0,1,False,False,False,False
kbrodt/stdalgorithms,0,0,1,False,False,False,False
kbrodt/suckless,0,0,1,False,False,False,False
kbrodt/tor4,0,0,1,False,False,False,False
kbrodt/waymo-motion-prediction-2021,169,42,4,False,False,False,False
kbrodt/yandex-cup-2021-asr,2,0,1,False,False,False,False
kbrodt/yandex-cup-2021-cv,0,0,1,False,False,False,False
kbrodt/ypc19,0,0,1,False,False,False,False
kbrodt/ypc19_2,2,0,1,False,False,False,False
kbrodz/devops,0,0,1,False,False,False,False
kbrodz/github-slideshow,0,0,1,False,False,False,False
kbrodz/hello-github-actions,0,0,1,False,False,False,False
kbrodz/kbrodz,0,0,1,False,False,False,False
kbrodz/kbrodz.github.io,-1,-1,-1,False,True,False,False
kbrodz/python,0,0,1,False,False,False,False
kbrodz/rozne,0,0,1,False,False,False,False
kbrodz/zjp2019,0,0,1,False,False,False,False
kbroe/3d_swimmer_models,-1,-1,-1,False,True,False,False
kbroe/bdf_1dexponential,-1,-1,-1,False,True,False,False
kbroe/crank-nicolson_2dexponential,-1,-1,-1,False,True,False,False
kbroe/cranknicolson_1dadvectiondiscperiodic,-1,-1,-1,False,True,False,False
kbroe/cranknicolson_1dstepfunction,-1,-1,-1,False,True,False,False
kbroe/directsolve_2dexponential,-1,-1,-1,False,True,False,False
kbroe/directsolve_3dgaussian,-1,-1,-1,False,True,False,False
kbroe/ex_2d_viscoelastic_swimmer,-1,-1,-1,False,True,False,False
kbroe/fitzhugh-nagumo,-1,-1,-1,False,True,False,False
kbroe/forwardeuler_2dexponential,-1,-1,-1,False,True,False,False
kbroe/gaussseidel_2dexponential,-1,-1,-1,False,True,False,False
kbroe/jacobi_2dexponential,-1,-1,-1,False,True,False,False
kbroe/laxwendroff_1dadvectiondiscperiodic,-1,-1,-1,False,True,False,False
kbroe/laxwendroff_1dadvectionsmoothperiodic,-1,-1,-1,False,True,False,False
kbroe/newtonlinesearch_toyproblems,-1,-1,-1,False,True,False,False
kbroe/old_pageprocessingqueue,-1,-1,-1,False,True,False,False
kbroe/peacemanradi_2dexponential,-1,-1,-1,False,True,False,False
kbroe/successiveoverrelax_3dexponential,-1,-1,-1,False,True,False,False
kbroe/sucessiveoverrelax_3dexponential,-1,-1,-1,False,True,False,False
kbroe/upwinding_1dadvectiondiscperiodic,-1,-1,-1,False,True,False,False
kbroe/upwinding_1dadvectionsmoothperiodic,-1,-1,-1,False,True,False,False
