repo,stars,forks,watchers,deleted,private,archived,disabled
gudiyakumari123/cv,0,0,1,False,False,False,False
gudiyakumari123/e-commerce,0,0,0,False,False,False,False
gudiyakumari123/e-commerce-website,0,0,1,False,False,False,False
gudiyakumari123/easybank,0,0,1,False,False,False,False
gudiyakumari123/finllie,0,0,1,False,False,False,False
gudiyakumari123/fire-detection,0,0,1,False,False,False,False
gudiyakumari123/floating-house-website,0,0,1,False,False,False,False
gudiyakumari123/interior-design,0,0,1,False,False,False,False
gudiyakumari123/login,0,0,1,False,False,False,False
gudiyakumari123/login-form,0,0,1,False,False,False,False
gudiyakumari123/login-page,0,0,1,False,False,False,False
gudiyakumari123/mypersonalwebsite,0,0,1,False,False,False,False
gudiyakumari123/registartion-page,0,0,1,False,False,False,False
gudiyakumari123/resturant,0,0,1,False,False,False,False
gudiyakumari123/resturant-website,0,0,1,False,False,False,False
gudiyam/gitdemo_project,0,0,1,False,False,False,False
gudiyam/hrmautomation,0,0,1,False,False,False,False
gudiyamadhan/gudiyamadhan,0,0,1,False,False,False,False
gudiyanaveen/11may2022,0,0,1,False,False,False,False
gudiyanaveen/jan_joiners,0,0,1,False,False,False,False
gudiyanaveen/mygit,0,0,1,False,False,False,False
gudiyanaveen/mygit_assign,0,0,1,False,False,False,False
gudiyanaveen/string_functions,0,0,1,False,False,False,False
gudiyanaveen/ts_crash_assignments,0,0,1,False,False,False,False
gudiyapilare/proj1,0,0,1,False,False,False,False
gudiyapreeti/pallindromebyme,0,0,1,False,False,False,False
gudiyasharm/api-and-local-storage,0,0,1,False,False,False,False
gudiyasharm/assesment-1,-1,-1,-1,False,True,False,False
gudiyasharm/assesment-3,-1,-1,-1,False,True,False,False
gudiyasharm/contextapi,0,0,1,False,False,False,False
gudiyasharm/destructuring,0,0,1,False,False,False,False
gudiyasharm/errorboundar-portals,-1,-1,-1,False,True,False,False
gudiyasharm/firebase-database,-1,-1,-1,False,True,False,False
gudiyasharm/git-demo,-1,-1,-1,False,True,False,False
gudiyasharm/hoc-renderprops-httprequest,0,0,1,False,False,False,False
gudiyasharm/login-form,0,0,1,False,False,False,False
gudiyasharm/myportfolio,0,0,1,False,False,False,False
gudiyasharm/myprojects,0,0,1,False,False,False,False
gudiyasharm/projects,0,0,1,False,False,False,False
gudiyasharm/session-cookie-useref,0,0,1,False,False,False,False
gudiyasharm/signup-form,0,0,1,False,False,False,False
gudiyasharm/styling-caching,-1,-1,-1,False,True,False,False
gudiyasharm/thirdparty-plugins,0,0,1,False,False,False,False
gudiyasharm/todo-app,0,0,1,False,False,False,False
gudiyasharm/todo-app-ts,-1,-1,-1,False,True,False,False
gudiyasharm/typescript-practice,-1,-1,-1,False,True,False,False
gudiyasharm/websockets,-1,-1,-1,False,True,False,False
gudiyasharma/project1,0,0,1,False,False,False,False
gudiyasim/c-test,0,0,2,False,False,False,False
gudiyasim/costcalculation,0,0,1,False,False,False,False
gudiyasim/komvux-sweden-project,0,0,1,False,False,False,False
gudiyasim/max-rb-st,0,0,1,False,False,False,False
gudiyasim/trial,0,1,1,False,False,False,False
gudiyasim/wellbefy,0,0,1,False,False,False,False
gudiyasinha/c-programs,0,0,0,False,False,False,False
gudiyasinha/irrigation_using_iot_raspberrypi,0,0,0,False,False,False,False
gudiyasinha/traffic-light,0,0,0,False,False,False,False
gudiyasinha/victor.github.io-colorchanger,0,0,0,False,False,False,False
gudiyat/firstmavendemo,0,0,0,False,False,False,False
gudiyat/freedemo,0,0,0,False,False,False,False
gudiyat/freedemoc,0,0,0,False,False,False,False
gudiyat/maventestimp,0,0,0,False,False,False,False
gudiyaverma/bookingapp,0,0,1,False,False,False,False
gudiyaverma/css,0,0,1,False,False,False,False
gudiyaverma/dbank,0,0,1,False,False,False,False
gudiyaverma/dp--series,0,0,1,False,False,False,False
gudiyaverma/dp-series,0,0,1,False,False,False,False
gudiyaverma/firstsite,0,0,1,False,False,False,False
gudiyaverma/graphseries,0,0,1,False,False,False,False
gudiyaverma/html,0,0,1,False,False,False,False
gudiyaverma/mongoose,0,0,1,False,False,False,False
gudiyaverma/myfirst2,0,0,1,False,False,False,False
gudiyaverma/myfirstweb,0,0,1,False,False,False,False
gudiyaverma/new2,0,0,1,False,False,False,False
gudiyaverma/newone,0,0,1,False,False,False,False
gudiyaverma/opend-nft-marketplace-,0,0,1,False,False,False,False
gudiyaverma/personalwebsite,0,0,1,False,False,False,False
gudiyaverma/ppp,0,0,1,False,False,False,False
gudiyaverma/resume.github.io,0,0,1,False,False,False,False
gudiyaverma/the-dice-game,0,0,1,False,False,False,False
gudiyaverma/the-simon-game,0,0,1,False,False,False,False
gudiyaverma/tindog,0,0,1,False,False,False,False
gudiyaverma/tindogfinal,0,0,1,False,False,False,False
gudiyaverma/videosharingapp,0,0,1,False,False,False,False
gudiyayadav2020/pipedream,0,0,0,False,False,False,False
gudiyayadav2020/table,0,0,1,False,False,False,False
gudiyayadav2020/website,0,0,1,False,False,False,False
gudiyayadav2710/helloworld,0,0,0,False,False,False,False
gudiyayadav2710/string-matching,0,0,0,False,False,False,False
gudj0/gudjo.dev,0,0,0,False,False,False,False
gudjames/studious-octo-sniffle,0,0,1,False,False,False,False
gudjao/chatsecure-ios,0,0,1,False,False,False,False
