user,repos_collab,deleted,site_admin,hireable,email,company,github_star
nghiemIUH,"nghiemIUH/word2vec,nghiemIUH/tinh_diem_iuh,nghiemIUH/MyBlog,nghiemIUH/instag,nghiemIUH/Machine-translation,nghiemIUH/GiuaKy,nghiemIUH/translate,nghiemIUH/tool-label,nghiemIUH/Neural-Network,nghiemIUH/ShareDocument,HuyenNguyen111/Khoa_Luan_Tot_Nghiep_2022,nghiemIUH/auto-uwsgi,nghiemIUH/yolov4,nghiemIUH/blog,nghiemIUH/game-ai,nghiemIUH/vilo-social,nghiemIUH/genz-tokenize,nghiemIUH/WebDoAn",True,False,False,,,False
nghiateachinfo,,True,False,False,,,False
nghialun17,"nghialun17/Demo_git,nghialun17/HTML-SHOP-LAPTOP",True,False,False,,,False
nghg59,"nghg59/CSharp-SQL-Test,nghg59/Java,nghg59/C-coding-exercises,nghg59/Javascript,nghg59/My_Task_Mngr,nghg59/Java-Coding-Exercises,nghg59/Java-coding-exercises,nghg59/Python,nghg59/p5.js,nghg59/WinformTest,nghg59/WinformCartEx,nghg59/JavaFX,nghg59/JS-Stuff,nghg59/Py,nghg59/CSharp,nghg59/C-",True,False,False,,,False
nghialam12795,"nghialam12795/LD46,nghialam12795/Asteroid-Replica,nghialam12795/penmacs_theme,nghialam12795/emacs_config,nghialam12795/DeadCyborg,nghialam12795/TNT_2D_Platformer,nghialam12795/GMS2_ProjectBase",True,False,False,,,False
nghiemgiangit,"nghiemgiangit/chrome-dino-game-automate,nghiemgiangit/facebook-tailwind,ngodanghai9x/test,nghiemgiangit/onthionline",True,False,False,,,False
nghiassi,nghiassi/sharing-github,True,False,False,,,False
nghoangson11200,,True,False,False,,,False
nghianguyen1011,"nghianguyen1011/TinyPulsesRepository,nghianguyen1011/AutomationCode,nghianguyen1011/NghiaNguyenRepository",True,False,False,,,False
nghtam93,"nghtam93/rionet,nghtam93/megasouls,nghtam93/orbit-metaverse,nghtam93/sharp,nghtam93/genetic_baitap,nghtam93/expressjs,nghtam93/visca_v2,nghtam93/daovang",True,False,False,,,False
nghiaes,"nghiaes/QuanLyBanHoa,nghiaes/quanlychitieu,nghiaes/DiemThiPTIT,nghiaes/ptitme,nghiaes/banhoa,nghiaes/schedule-course,huyhoang8398/androiddev2019,nghiaes/toolsyncdb,nghiaes/Calculate,kienphan75/ImageEditor,nghiaes/readexcel,nghiaes/webservice,nghiaes/loginfb,nghiaes/QuanLyBanSach,nghiaes/baitapc,nghiaes/VehicleShare,nghiaes/CarManagement",True,False,False,,,False
nghiem-tech,"nghiem-tech/testing,nghiem-tech/JXNN,nghiem-tech/odin-recipes,nghiem-tech/Testing,nghiem-tech/Odin-landingpage,nghiem-tech/Odin-landing-page,nghiem-tech/HPS_Project",True,False,False,,,False
nghia14302,"SWP-APALARY/APALARY-Frontend,nghia14302/homefrelencer.github.io,nghia14302/DemoFcode-Training,nghia14302/CountDownClock,nghia14302/Ba-i-t-p-pascal,nghia14302/BEP,nghia14302/Demo-countdown-clock,nghia14302/tic-tac-toe,nghia14302/nghia14302,Penguin-Production/PenMess-Frontend,nghia14302/PRJ-Servlet,nghia14302/frelencer,nghia14302/note-app,nghia14302/demo,minhtringuyennn/Shiba-the-house-keeper-DiscordBot,kien123456k/moura-frontend,nghia14302/fcode-landingpage,Penguin-Production/Youtube-clone-Frontend,Penguin-Production/PenTube-Backend,markhipz/fcode-landingpage,Penguin-Production/PenTube-Frontend,nghia14302/Habit-timer,khanhlinh2601/mail-googlesheet,nghia14302/ca-c-ba-i-pascal",True,False,False,,,False
nghia5790,,True,False,False,,,False
nghiammk,nghiammk/CTF,True,False,False,,,False
